#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
42 1.54186200000000e-09 6.91037034164414e-11 -4.76832543248179e-05 -1.32741447201472e-02 8.11551864048654e-32 -5.63607509827077e-26 6.92976056850121e-24 1.00032191846908e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
43 1.57857300000000e-09 7.24103998880727e-11 -4.99809035625204e-05 -1.29949640669409e-02 8.31456643845156e-32 -5.77026429903711e-26 6.92974952534809e-24 1.00032191846914e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
44 1.61528400000000e-09 7.58031208217442e-11 -5.23326138773713e-05 -1.27157838638047e-02 8.51300395136699e-32 -5.90445328226821e-26 6.92973822329561e-24 1.00032191846928e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
45 1.65199500000000e-09 7.92697072572989e-11 -5.47383851695759e-05 -1.24366041212553e-02 8.69301558655050e-32 -6.03864202626757e-26 6.92972666020140e-24 1.00032191846931e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
46 1.68870600000000e-09 8.28074716025338e-11 -5.71982173461698e-05 -1.21574248498092e-02 8.87804922801205e-32 -6.17283054781428e-26 6.92971483606963e-24 1.00032191846923e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
47 1.72541700000000e-09 8.64231479043317e-11 -5.97121103208778e-05 -1.18782460599829e-02 9.07320870283177e-32 -6.30701884655376e-26 6.92970275303423e-24 1.00032191846924e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
48 1.76212800000000e-09 9.01181609518405e-11 -6.22800640004573e-05 -1.15990677621209e-02 9.26002376556682e-32 -6.44120690042775e-26 6.92969041109605e-24 1.00032191846933e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
49 1.79883900000000e-09 9.38843624905365e-11 -6.49020782808431e-05 -1.13198899667397e-02 9.43826746244979e-32 -6.57539470418309e-26 6.92967780812637e-24 1.00032191846932e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
50 1.83555000000000e-09 9.77229944427860e-11 -6.75781530645691e-05 -1.10407126843552e-02 9.63118166751542e-32 -6.70958227400675e-26 6.92966494412965e-24 1.00032191846919e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
51 1.87226100000000e-09 1.01644635569670e-10 -7.03082882606129e-05 -1.07615359254836e-02 9.82646300747555e-32 -6.84376959361769e-26 6.92965182122564e-24 1.00032191846915e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
